account_id,num_deposits,num_withdraws,total_amount_deposited,total_amount_withdrawn,behavior_score,normalized_score
0x00000000af5a61acaf76190794e3fdf1289288a1,0,60,0.0,0.0,-600.0,5.639718005640056e-23
0x00000000b1786c9698c160d78232c78d6f6474fe,0,0,0.0,0.0,0.0,6.239688006240063e-23
0x0000000484f2217f1a64eb6d24b5cee446faeae5,0,0,0.0,0.0,0.0,6.239688006240063e-23
0x000000aaee6a496aaf7b7452518781786313400f,25,163,0.0,0.0,-1380.0,4.8597570048600486e-23
0x00000a6bbb35ea3f6f8dbc94801738f490c30a8d,2,2,0.0,0.0,0.0,6.239688006240063e-23
0x000206732258d7511fa624127228e6a032718e62,0,1,0.0,258.23612111262736,-10.0,6.229688506230063e-23
0x0004d2a2f9a823c1a585fde6514a17ff695e0001,0,2,0.0,0.0,-20.0,6.219689006220062e-23
0x0006e4548aed4502ec8c844567840ce6ef1013f5,18,44,0.0,0.0,-260.0,5.97970100598006e-23
0x0007808d13026d3245351759abc4f90a7bdd50de,2,0,0.0,0.0,20.0,6.259687006260062e-23
0x000be263b3ceb55d22ed9b40d7619f62c4862c80,21,18,0.0,0.0,30.0,6.269686506270062e-23
0x000ea36028ca0a4d56778c5333c3f164efd7e25c,1,0,1.872148117680432,0.0,10.00187214811768,6.249689378304574e-23
0x000f7f22bfc28d940d4b68e13213ab17cf107790,0,0,0.0,0.0,0.0,6.239688006240063e-23
0x0011e3c93627956b12742b3c0b2e92250ea30a1f,0,1,0.0,1.0974272825210571,-10.0,6.229688506230063e-23
0x00120ec799017bbab1049174ac3cd706260effc4,2,0,500500.0,0.0,520.5,6.760161981760568e-23
0x00164af1287c58d244049de5a6605b930e2cdd28,1,0,112.76719233111756,0.0,10.112767192331118,6.249800267804146e-23
0x001a5a14a0421fa2bb3c16bb678b85546b813de2,0,0,0.0,0.0,0.0,6.239688006240063e-23
0x00221460aebc81dbc71fc2a668277ecb35bac502,0,3,0.0,350005850044472.5,-30.0,6.209689506210062e-23
0x0025bf06ed84d1e4039eeb03274d8a211dfec4ac,2,0,0.0,0.0,20.0,6.259687006260062e-23
0x0026ab3575ad6b6fc6a06a4a663b0d466a03fdba,0,1,0.0,94.19988836710397,-10.0,6.229688506230063e-23
0x0028e056d9d0a11da82c6d4a6cd3b6877e7b3081,0,2,0.0,0.0,-20.0,6.219689006220062e-23
0x0029ab135b5be72168bf80f140d60a9264dbd0c5,2,3,0.0,0.0,-10.0,6.229688506230063e-23
0x0029dc8d8ef8c287ad395732dbe5d5bf951da820,1,2,99.4415591263494,0.0,-9.90055844087365,6.22978794281721e-23
0x0029f0f679c51341d2bb0925f3fbb0f7ceef86d1,0,0,0.0,0.0,0.0,6.239688006240063e-23
0x002e7f273b46e0abad44d381aa74795df5780089,0,1,0.0,185.8604349629272,-10.0,6.229688506230063e-23
0x002f9caf40a444f20813da783d152bdfaf42852f,5,8,0.0,0.0,-30.0,6.209689506210062e-23
0x002fc216a6666b663add0bbfc8499d92431c06d7,1,1,3.13,3.13,0.00313,6.239691136083565e-23
0x0030148db0c220c5757b02b9984cfc46c7d70fa6,0,2,0.0,0.0,-20.0,6.219689006220062e-23
0x0032061708483b10455972cd205f4951c0aa2949,1,1,3671.323264444112,3675.237406449932,3.6713232644441116,6.243359145942015e-23
0x0032bc4e58118b3ce0cd9d472cb722bed0da6dad,0,1,0.0,2911.0687892017213,-10.0,6.229688506230063e-23
0x0032c91b1fc2ffc7deb3a48fd171a0471e3bd741,1,1,5.852097453634553,5.910783550680498,0.005852097453634552,6.239693858044917e-23
0x0034a5c3144ab25f442ff3f9a0ae763e4d073cbb,0,1,0.0,1058.3584602924427,-10.0,6.229688506230063e-23
0x0035e78d54a1daf93de5b7740ec9864294cd25f8,0,0,0.0,0.0,0.0,6.239688006240063e-23
0x003792603d31899c0d0032c1e4a50f4558e07cda,1,0,24.874841307655927,0.0,10.024874841307655,6.249712379847652e-23
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,0,1,0.0,18129.604524013062,-10.0,6.229688506230063e-23
0x003c52a71c887461087154eccced08cb1c5384a5,9,4,0.0,0.0,50.0,6.289685506290062e-23
0x003dc32fe920a4aaeed12dc87e145f030aa753f3,0,3,0.0,0.0,-30.0,6.209689506210062e-23
0x003f6b20bfa4b5cab701960ecf73859cb3c095fc,0,1,0.0,43.58101820351353,-10.0,6.229688506230063e-23
0x004098bb5b1d5285e4347bfebfe65b36d20fc697,1,0,225.4253585287396,0.0,10.22542535852874,6.249912920337548e-23
0x004537fcd9095489ebe38180a382341b962b501d,1,0,386.1014717162635,0.0,10.386101471716264,6.25007358841709e-23
0x0048800e4f0f43c4867a9326402c69c28cd23bc7,0,3,0.0,0.0,-30.0,6.209689506210062e-23
0x0049fab7f5dd1f26f057bd5d972ffc6ba3c349dd,4,4,0.0,0.0,0.0,6.239688006240063e-23
0x005019e7978826f415ba7ab77a2722e3063e0c87,0,0,0.0,0.0,0.0,6.239688006240063e-23
0x0053208de616979274f804cc7568b8f750f3979a,0,2,0.0,0.0,-20.0,6.219689006220062e-23
0x00552d85d4d1b09b76786c72798c5e5bd296b95b,1,1,1588.0625087812025,1195.7992901774821,1.5880625087812026,6.241275989347306e-23
0x0056d1fd2ca3c0f3a7b6ed6cdd1f1f104b4bf9a9,0,2,0.0,0.0,-20.0,6.219689006220062e-23
0x005839abcf30fc149dbac154d62cf00ce5a18351,0,2,0.0,0.0,-20.0,6.219689006220062e-23
0x005a191ab8001efec30a836554997448ee273c39,0,0,0.0,0.0,0.0,6.239688006240063e-23
0x005b0743d8b2ed646499dc48b64b95e71b8afa43,0,0,0.0,0.0,0.0,6.239688006240063e-23
0x005c0db8e8650d83e7438a75bfb718f9b550382e,2,0,0.0,0.0,20.0,6.259687006260062e-23
0x005f55f128401985309c4841e620ffbf5057b04e,0,0,0.0,0.0,0.0,6.239688006240063e-23
0x0061cc250c17c9a9f6335acaf1bb94b3fcf9e6ad,6,0,0.0,0.0,60.0,6.299685006300062e-23
